# /Advice
Commands.Players.Advice.Advice:				[Anfrage{0}] {1}: "{2}"
Commands.Player.Guild.BannerNotAfford:			Ihr benötigt 50.000 Kopfgeldpunkte, um ein Gildenbanner kaufen zu können.
Commands.Player.Guild.BannerSummoned:			Ihr habt das Gildenbanner gehisst.
Commands.Player.Guild.BannerUnsummoned:			Ihr habt das Gildenbanner eingeholt.	
Commands.Player.Guild.BannerNotRvR:			You need to be in an RvR zone to summon a guild banner!
Commands.Player.Guild.BuffActivated:			[Gildenbonuszauber] {0} hat 1000 Gildenverdienstpunkte ausgegeben, und einen Gildenbonuszauber aktiviert!
Commands.Player.Guild.BuffBountyPoints:			Eure Gilde wird für die nächsten 24 Stunden einen 5% Bonus auf Kopfgeldpunkte erhalten!
Commands.Player.Guild.BuffBPActivated:			[Gildenbonuszauber] Eure Gilde wird für die nächsten 24 Stunden einen Bonus auf Kopfgeldpunkte erhalten!	
Commands.Player.Guild.BuffMPActivated:			[Gildenbonuszauber] Eure Gilde wird für die nächsten 24 Stunden einen Bonus auf Verdienstpunkte erhalten!	
Commands.Player.Guild.BuffRealmPoints:			Eure Gilde wird für die nächsten 24 Stunden einen 5% Bonus auf Reichspunkte erhalten!
Commands.Player.Guild.ClaimNotNear:			Ihr müßt Euch in der Nähe der Festung befinden, um Euren Anspruch geltend machen zu können.
Commands.Player.Guild.ConfirmLeave:			Wollt Ihr {0} wirklich verlassen?
Commands.Player.Guild.DemotedHigherThanPlayer:		Das steht Euch nicht zu!
Commands.Player.Guild.DemotedOther:			{0} wurde zum {1} degradiert.	
Commands.Player.Guild.DemotedSelf:			Ihr wurdet zum {0} degradiert.	
Commands.Player.Guild.DepositAmount:			Ihr zahlt {0} auf das Konto Eurer Gilde ein.
Commands.Player.Guild.DepositFull:			Es scheint, als ob das Konto Eurer Gilde voll ist.
Commands.Player.Guild.DepositInvalid:			Das ist kein gültiger Betrag.
Commands.Player.Guild.DepositTooMuch:			Ihr habt dafür nicht genug Geld!
Commands.Player.Guild.DuesOff:				Es werden zur Zeit keine Gildenabgaben gefordert.
Commands.Player.Guild.DuesOn:				Die Gildenabgaben belaufen sich zur Zeit auf {0} Prozent.
Commands.Player.Guild.EmailSet:				Ihr habt die E-Mail-Adresse für die Gilde auf {0} geändert.
Commands.Player.Guild.EmblemAlready:			Eure Gilde hat bereits ein Abzeichen, aber Ihr könnt es für einen stattlichen Betrag von 100 Gold ändern. Wenn Ihr das dennoch zu tun wünscht, sprecht noch einmal mit dem Siegelmacher.	
Commands.Player.Guild.EmblemNeedGold:			Ihr benötigt 200 Gold für ein neues Gildenabzeichen.
Commands.Player.Guild.EmblemNeedNPC:			Ihr müßt mit dem Siegelmacher sprechen.
Commands.Player.Guild.EmblemNPCNotSelected:		Ihr müßt mit dem Siegelmacher sprechen.	
Commands.Player.Guild.EmblemRedo:			Wollt Ihr ein neues Gildenabzeichen für 100 Gold erwerben?
Commands.Player.Guild.FormNoGroup:			Ihr müßt einer Gruppe angehören um eine Gilde zu gründen.
Commands.Player.Guild.FormNoMembers:			Ihr benötigt {0} Spieler in Eurer Gruppe, um eine Gilde zu gründen.
Commands.Player.Guild.GuildCreated:			Die Gilde "{0}" wurde gegründet mit {1} als Anführer.
Commands.Player.Guild.GuildExists:			Diese Gilde gibt es schon.
Commands.Player.Guild.GuildForceLeave:			{0} hat Dich aus {1} entfernt.
Commands.Player.Guild.GuildLeave:			Ihr habt Eure Gilde verlassen.
Commands.Player.Guild.GuildLevelReq:			Eure Gilde ist nicht befugt, diesen Befehl auszuführen.
Commands.Player.Guild.GuildNotExist:			Diese Gilde gibt es nicht.
Commands.Player.Guild.Help.GuildACancel:			/gc acancel - eine Einladung für eine Allianz zurückziehen	
Commands.Player.Guild.Help.GuildAAccept:			/gc aaccept - eine Einladung für eine Allianz annehmen	
Commands.Player.Guild.Help.GuildAccept:			/gc accept - eine Einladung für eine Gilde annehmen	
Commands.Player.Guild.Help.GuildADecline:		/gc adecline - eine Einladung für eine Allianz ausschlagen	
Commands.Player.Guild.Help.GuildAInvite:			/gc ainvite - eine andere Gilde in Eure Allianz einladen	
Commands.Player.Guild.Help.GuildALeave:			/gc aleave - eure Gilde aus der Allianz entfernen
Commands.Player.Guild.Help.GuildAlli:			/gc alliance - Informationen zu einer Allianz anzeigen	
Commands.Player.Guild.Help.GuildAMotd:			/gc amotd <text> - Willkommensbotschaft für eine Allianz ändern	
Commands.Player.Guild.Help.GuildARemove:			/gc aremove - aus der Allianz austreten (betrifft alle in der Gilde)	
Commands.Player.Guild.Help.GuildARemoveAlli:		/gc aremove alliance [#] - eine Gilde aus der Allianz ausschliessen (ID erforderlich)
Commands.Player.Guild.Help.GuildAutoRemove:		/gc autoremove <playername> - entfernt einen Charakter aus der Gilde, auch wenn dieser nicht eingeloggt ist
Commands.Player.Guild.Help.GuildAutoRemoveAcc:		/gc autoremove account <playername> - entfernt alle Charakter eines Spielers aus der Gilde, auch wenn dieser nicht eingeloggt ist
Commands.Player.Guild.Help.GuildBannerSummon:		/gc summon - hisst das Gildenbanner, sofern vorhanden	
Commands.Player.Guild.Help.GuildBuff:			/gc buff <artifact, crafting, rps, bps, xp or mlxp> - einen Bonuszauber für die Gilde kaufen	
Commands.Player.Guild.Help.GuildBuyBanner:		/gc buybanner - ein Gildenbanner kaufen	
Commands.Player.Guild.Help.GuildCancel:			/gc cancel <option> [value] - alle vorherigen Befehle zurückziehen	
Commands.Player.Guild.Help.GuildClaim:			/gc claim - eine Festung für die Gilde in Anspruch nehmen
Commands.Player.Guild.Help.GuildDecline:			/gc decline - eine Einladung für eine Gilde ausschlagen	
Commands.Player.Guild.Help.GuildDemote:			/gc demote <rank#> [name] - einen Spieler degradieren (gültige Ränge: 0-10)	
Commands.Player.Guild.Help.GuildDeposit:			/gc deposit <amount> - Geld auf das Gildenkonto einzahlen	
Commands.Player.Guild.Help.GuildDues:			/gc dues <amount> - Gildenabgaben verlangen (0-100%)	
Commands.Player.Guild.Help.GuildEdit:			/gc edit - zeige eine Liste der für /gc edit verfügbaren Optionen an	
Commands.Player.Guild.Help.GuildEditACHear:		/gc edit <ranknum> achear <y/n> - bestimmt ob der Rang den Allianz-Chat hören kann oder nicht
Commands.Player.Guild.Help.GuildEditACSpeak:		/gc edit <ranknum> acspeak <y/n> - bestimmt ob der Rang im Allianz-Chat schreiben kann oder nicht
Commands.Player.Guild.Help.GuildEditAlli:		/gc edit <ranknum> alli <y/n>-  bestimmt ob der Rang einer Allianz beitreten oder diese verlassen kann (ernennt einen Diplomaten)
Commands.Player.Guild.Help.GuildEditClaim:		/gc edit <ranknum> claim <y/n> - bestimmt ob der Rang eine Festung/einen Turm beanspruchen kann
Commands.Player.Guild.Help.GuildEditDues:		/gc edit <ranknum> dues <y/n> - bestimmt ob der Rang die Gildensteuer aktivieren/deaktivieren kann oder nicht
Commands.Player.Guild.Help.GuildEditEmblem:		/gc edit <ranknum> emblem <y/n> - bestimmt ob der Rang das Gildenwappen tragen darf oder nicht
Commands.Player.Guild.Help.GuildEditGCHear:		/gc edit <ranknum> gchear <y/n> - bestimmt ob der Rang den Gildenchat hören kann oder nicht	
Commands.Player.Guild.Help.GuildEditGCSpeak:		/gc edit <ranknum> gcspeak <y/n> - bestimmt ob der Rang im Gildenchat reden kann oder nicht
Commands.Player.Guild.Help.GuildEditInvite:		/gc edit <ranknum> invite <y/n> - bestimmt ob der Rang neue Gildenmitglieder einladen darf oder nicht
Commands.Player.Guild.Help.GuildEditOCHear:		/gc edit <ranknum> ochear <y/n> - bestimmt ob der Rang den Offizierschat hören kann oder nicht
Commands.Player.Guild.Help.GuildEditOCSpeak:		/gc edit <ranknum> ocspeak <y/n> - bestimmt ob der Rang im Offizierschat reden kann oder nicht
Commands.Player.Guild.Help.GuildEditPromote:		/gc edit <ranknum> promote <y/n> - bestimmt ob der Rang andere Gildenmitglieder befördern oder degradieren darf (maximal bis ein Rang unter seinem eigenen)
Commands.Player.Guild.Help.GuildEditRankLevel:		/gc edit <ranknum> ranklevel <level> - bestimmt die Rangordnung
Commands.Player.Guild.Help.GuildEditRelease:		/gc edit <ranknum> release <y/n> - bestimmt ob der Rang eine Festung/einen Turm aufgeben darf
Commands.Player.Guild.Help.GuildEditRemove:		/gc edit <ranknum> remove <y/n> - bestimmt ob der Rang andere Gildenmitglieder aus der Gilde entfernen darf (maximal bis ein Rang unter seinem eignen)
Commands.Player.Guild.Help.GuildEditTitle:		/gc edit <ranknum> title <text> - teilt einen Titel dem Rang zu
Commands.Player.Guild.Help.GuildEditUpgrade:		/gc edit <ranknum> upgrade <y/n> -  bestimmt ob der Rang eine Festung oder einen Turm upgraden (also im Level verändern) darf	
Commands.Player.Guild.Help.GuildEditView:		/gc edit <ranknum> view <y/n> - edits this rank with the ability to display the /gc info screen	
Commands.Player.Guild.Help.GuildEditWithdraw:		/gc edit <ranknum> withdraw <y/n> -  bestimmt ob der Rang Geld vom Gildensteuerkonto abheben kann oder nicht
Commands.Player.Guild.Help.GuildEmail:			/gc email <contact@guildpage.com> - Legt die Emailadresse der Gilde fest. Diese Informationen werden mit /gc info und in den Chroniken angezeigt.
Commands.Player.Guild.Help.GuildEmblem:			/gc emblem - das Gildenwappen durch einen Gildenregistrar erstellen lassen
Commands.Player.Guild.Help.GuildForm:			/gc form <Name> - eine Gilde mit allen Gruppenmitgliedern gründen	
Commands.Player.Guild.Help.GuildGMAddPlayer:		/gc addplayer <player> to <guild> - fügt einen Spieler der Gilde hinzu	
Commands.Player.Guild.Help.GuildGMCommands:		Game Master commands:
Commands.Player.Guild.Help.GuildGMCreate:		/gc create <Name> - erstellt eine neue Gilde mit dem ausgewählten Spieler als Leiter	
Commands.Player.Guild.Help.GuildGMPurge:			/gc purge <Name> - löscht eine Gilde komplett
Commands.Player.Guild.Help.GuildGMRemovePlayer:		/gc removeplayer <player> from <guild> - entfernt einen Spieler aus der Gilde	
Commands.Player.Guild.Help.GuildGMRename:		/gc rename <OldName> to <NewName - benennt eine Gilde um
Commands.Player.Guild.Help.GuildInfo:			/gc info - Anzeige der Gildeninformationen
Commands.Player.Guild.Help.GuildInvite:			/gc invite [name] -  Spieler in die Gilde einladen, ohne Namensangabe wird anvisierter Spieler eingeladen
Commands.Player.Guild.Help.GuildLeader:			/gc leader [name] - einen neuen Gildenanführer ernennen
Commands.Player.Guild.Help.GuildList:			/gc list - Anzeige aller Gilden im Reich
Commands.Player.Guild.Help.GuildMotd:			/gc motd <text> - Die "Nachricht des Tages" für die Gilde erstellen
Commands.Player.Guild.Help.GuildNoteSelf:		/gc noteself <note> - erstellt eine Bemerkung zu Eurem Charakter für die Gilde
Commands.Player.Guild.Help.GuildOMotd:			/gc omotd <text> - Die "Nachricht des Tages" für die Offiziere der Gilde erstellen
Commands.Player.Guild.Help.GuildPromote:			/gc promote <rank#> [name] - einen Spieler befördern (gültige Ränge: 0-10)
Commands.Player.Guild.Help.GuildQuit:			/gc quit - die aktuelle Gilde verlassen
Commands.Player.Guild.Help.GuildRanks:			/gc ranks - Anzeige der Gildenränge
Commands.Player.Guild.Help.GuildRemAccount:		/gc removeaccount <accountname> - jeden Charakter des Spielers aus der Gilde entlassen
Commands.Player.Guild.Help.GuildRemove:			/gc remove <playername> - einen Spieler aus der Gilde entlassen
Commands.Player.Guild.Help.GuildUsage:			Usage:
Commands.Player.Guild.Help.GuildWebpage:			/gc webpage <the.guildpage.com> - Legt die Gildenwebseite fest. Diese Informationen werden mit /gc info und in den Chroniken angezeigt.
Commands.Player.Guild.Help.GuildWho:			/gc who - Anzeige aller Gildenmitglieder im Spiel
Commands.Player.Guild.Help.GuildWithdraw:		/gc withdraw <amount> - hebt eine Summe (in Kupferstücken) vom Gildensteuerkonto ab 	
Commands.Player.Guild.InCombat:				Ihr könnt das Banner nicht mitten im Kampf einholen!	
Commands.Player.Guild.InfoAMotd:				Allianznachricht: {0}	
Commands.Player.Guild.InfoCEmail:			Kontaktemail: {0}	
Commands.Player.Guild.InfoGDuesBank:			Abgabe: {0} Kasse: {1} Kupfer	
Commands.Player.Guild.InfoGuild:				Guildeninfo für {0}:	
Commands.Player.Guild.InfoGuildLevel:			Gildenstufe: {0}	
Commands.Player.Guild.InfoMotd:				Nachricht:  {0}	
Commands.Player.Guild.InfoOMotd:				Offiziersnachricht: {0}	
Commands.Player.Guild.InfoRPBPMP:			Reichspunkte: {0} Kopfgeldpunkte: {1} Erfolgspunkte: {2}	
Commands.Player.Guild.InfoWebpage:			Webseite: {0}	
Commands.Player.Guild.InvalidLetters:			Einige dieser Zeichen können nicht verwendet werden.	
Commands.Player.Guild.InvalidRank:			Das ist kein zugelassener Rang.
Commands.Player.Guild.InviteDead:			Ihr könnt keinen toten Spieler in Eure Gilde einladen.
Commands.Player.Guild.InviteNoSelected:			Ihr müsst erst einen Spieler auswählen.
Commands.Player.Guild.InviteNoSelf:			Ihr könnt Euch nicht selbst einladen.
Commands.Player.Guild.InviteNotThis:			Dieses Mitglied könnt Ihr nicht einladen.
Commands.Player.Guild.InviteRecieved:			{0} hat Euch eingeladen seiner Gilde beizutreten.	
Commands.Player.Guild.InviteSent:			Ihr habt {0} in Eure Gilde eingeladen.	
Commands.Player.Guild.Keep:				Eure Gilde hat auf {0} Anspruch erhoben.	
Commands.Player.Guild.LevelUp:				[Guilde] Eure Gilde hat Stufe {0} erreicht!	
Commands.Player.Guild.LoginsOff:				Ihr werdet nicht länger über die Anmeldung eines Gildenmitgliedes informiert, gebt "/gc logins" ein, um wieder eine Mitteilung zu bekommen.
Commands.Player.Guild.LoginsOn:				Ihr werdet wieder über die Anmeldung eines Gildenmitgliedes informiert, gebt "/gc logins" ein, um keine Mitteilung mehr zu bekommen.
Commands.Player.Guild.MadeLeader:			Ihr seid nun der Leiter von {0}.	
Commands.Player.Guild.MadeLeaderOther:			{0} wurde zum Leiter von {1} gemacht.
Commands.Player.Guild.MemberLogin:			{0} hat diese Welt betreten.
Commands.Player.Guild.MemberLogoff:			{0} hat diese Welt verlassen.
Commands.Player.Guild.MemberRemoved:			{0} hat {1} aus der Gilde entlassen.
Commands.Player.Guild.MeritPointReq:			Eure Gilde hat nicht die erforderliche Anzahl von Erfogspunkten.
Commands.Player.Guild.MotdSet:				Ihr habt die "Nachricht des Tages" für die Gilde erstellt.
Commands.Player.Guild.NoKeep:				Für diesen Befehl braucht Ihr eine Festung.
Commands.Player.Guild.NoPlayerSelected:			Ihr müsst erst einen Spieler auswählen.	
Commands.Player.Guild.NoPlayersInAcc:			Diesen Spieler gibt es in Eurer Gilde nicht.	
Commands.Player.Guild.NoPrivilages:			Ihr habt nicht die erforderliche Berechtigung in Eurer Gilde für diesen Befehl.	
Commands.Player.Guild.NoteSet:				Die Gildennotiz wurde von Euch geändert auf: {0}
Commands.Player.Guild.NotInYourGuild:			Dieser Spieler gehört nicht zu Eurer Gilde.
Commands.Player.Guild.NotMember:				Gildenbefehle können nur von Euch genutzt werden, wenn Ihr Mitglied einer Gilde seid.	
Commands.Player.Guild.OMotdSet:				Ihr habt die "Nachricht des Tages" für die Offiziere Eurer Gilde erstellt.	
Commands.Player.Guild.PlayerNotFound:			Dieser Spieler ist nicht auf dieser Welt.
Commands.Player.Guild.PromotedOther:			{0} wurde zum {1} befördert.	
Commands.Player.Guild.PromotedSelf:			Ihr wurdet zum {0} befördert.	
Commands.Player.Guild.PromoteHaveToUseDemote:		Ihr könnt dieses Gildenmitglied nicht degradieren mit dem "promote"-Befehl. Verwendet "/gc demote <ranklevel> Name".
Commands.Player.Guild.PromoteHigherThanPlayer:		Ihr könnt nur Ränge vergeben, die unter dem Euren liegen.	
Commands.Player.Guild.Purged:				{0} wurde gepurged.
Commands.Player.Guild.RankACHearSet:			Ihr habt {0} the ACHear of the rank {1}.	
Commands.Player.Guild.RankACSpeakSet:			Ihr habt {0} the ACSpeak of the rank {1}.	
Commands.Player.Guild.RankAlliSet:			Ihr habt {0} the Alliance of the rank {1}.	
Commands.Player.Guild.RankBuffSet:			Ihr habt {0} the Buff of the rank {1}.	
Commands.Player.Guild.RankClaimSet:			Ihr habt {0} the Claim of the rank {1}.	
Commands.Player.Guild.RankDuesSet:			Ihr habt {0} the Dues of the rank {1}.	
Commands.Player.Guild.RankEmblemSet:			Ihr habt {0} the emblem of the rank {1}.	
Commands.Player.Guild.RankGCHearSet:			Ihr habt {0} the GCHear of the rank {1}.	
Commands.Player.Guild.RankGCSpeakSet:			Ihr habt {0} the GCSpeak of the rank {1}.	
Commands.Player.Guild.RankInviteSet:			Ihr habt {0} the Invite of the rank {1}.	
Commands.Player.Guild.RankLevelSet:			Ihr habt die Stufes des Ranges auf {0} geändert.	
Commands.Player.Guild.RankOCHearSet:			Ihr habt {0} the OCHear of the rank {1}.	
Commands.Player.Guild.RankOCSpeakSet:			Ihr habt {0} the OCSpeak of the rank {1}.	
Commands.Player.Guild.RankPromoteSet:			Ihr habt {0} the Promote of the rank {1}.	
Commands.Player.Guild.RankReleaseSet:			Ihr habt {0} the Release of the rank {1}.	
Commands.Player.Guild.RankRemoveSet:			Ihr habt {0} the Remove of the rank {1}.	
Commands.Player.Guild.RankTitleSet:			Ihr habt den Titel des Ranges auf {0} geändert.	
Commands.Player.Guild.RankUpgradeSet:			Ihr habt {0} the Upgrade of the rank {1}.	
Commands.Player.Guild.RankViewSet:			Ihr habt {0} the View of the rank {1}.	
Commands.Player.Guild.RankWithdrawSet:			Ihr habt {0} the Withdraw of the rank {1}.	
Commands.Player.Guild.ThirdArgNotNum:			Das dritte Argument muss eine Zahl sein.
Commands.Player.Guild.UnableToCreate:			Die Gilde"{0}" konnte nicht erstellt werden.	
Commands.Player.Guild.UnableToCreateLead:		Die Gilde "{0}" konnte nicht mit "{1}" als Leiter erstellt werden.	
Commands.Player.Guild.UnknownCommand:			Unbekannter Befehl. Gebt "/gc help" ein, um mehr Informationen zu erhalten.	
Commands.Player.Guild.UpgradeNoLevel:			Ihr müsst eine Stufe als Ziel für diese Änderung angeben.	
Commands.Player.Guild.UpgradeScndArg:			Das zweite Argument muss eine Zahl sein.	
Commands.Player.Guild.WebpageSet:			Ihr habt die Gildenwebseite auf {0} geändert.	
Commands.Player.Guild.Withdrawamount:			Ihr nehmt {0} aus der Gildenkasse.	
Commands.Player.Guild.WithdrawInvalid:			Diese Menge kann nicht entnommen werden.	
Commands.Player.Guild.WithdrawTooMuch:			Ihr könnt dieses viele Geld nicht aus der Gildenkasse entnehmen.	

# /GC
Commands.Players.Guild.AllianceInfo:			Allianzinformation für {0}:
Commands.Players.Guild.AllianceLeader:			Allianzanführer {0}
Commands.Players.Guild.AllianceMembers:			Allianzmitglieder:
Commands.Players.Guild.AllianceMember:			{0} - {1}
Commands.Players.Guild.AllianceNoLeader:			Kein Allianzanführer

# /horse
HorseEmote.MustBeOnMount:				Ihr könnt dies nicht machen während Ihr reitet.
HorseEmote.You:						Ihr
HorseEmote.courbette.ToOthers:				-
HorseEmote.courbette.ToSource:				-
HorseEmote.courbette.NoTargetToOthers:			{0}s Reittier verbeugt sich.
HorseEmote.courbette.NoTargetToSource:			Euer Reittier verbeugt sich.
HorseEmote.graze.ToOthers:				-
HorseEmote.graze.ToSource:				-
HorseEmote.graze.NoTargetToOthers:			{0} lässt {1} Reittier grasen.
HorseEmote.graze.NoTargetToSource:			Ihr lasst Euer Reittier grasen.
HorseEmote.halt.ToOthers:				{0} befiehlt {1} zu halten.
HorseEmote.halt.ToSource:				Ihr befehlt {0} zu halten.
HorseEmote.halt.NoTargetToOthers:			{0} befiehlt jedem zu halten.
HorseEmote.halt.NoTargetToSource:			Ihr befehlt jedem zu halten.
HorseEmote.nod.ToOthers:				{0}s Reittier nickt {1} zu.
HorseEmote.nod.ToSource:				Euer Reiitier nickt {0} zu.
HorseEmote.nod.NoTargetToOthers:			{0}s Reittier nickt.
HorseEmote.nod.NoTargetToSource:			Euer Reittier nickt.
HorseEmote.pet.ToOthers:				-
HorseEmote.pet.ToSource:				-
HorseEmote.pet.NoTargetToOthers:			{0} streichelt {1} Reittier.
HorseEmote.pet.NoTargetToSource:			Ihr streichelt Euer Reittier.
HorseEmote.rear.ToOthers:				{0}s Reittier bäumt sich auf beim Anblick von {1}.
HorseEmote.rear.ToSource:				Euer Reittier bäumt sich auf beim Anblick von {0}.
HorseEmote.rear.NoTargetToOthers:			{0}s Reittier bäumt sich auf.
HorseEmote.rear.NoTargetToSource:			Euer Reittier bäumt sich auf.
HorseEmote.startle.ToOthers:				{0}s Reittier erschreckt sich durch {1}.
HorseEmote.startle.ToSource:				Euer Reittier erschreckt sich durch {0}.
HorseEmote.startle.NoTargetToOthers:			{0}s Reittier erschreckt sich.
HorseEmote.startle.NoTargetToSource:			Euer Reittier is erschreckt sich.
HorseEmote.trick.ToOthers:				{0} steht auf {2} Reittier um {1} zu beeindrucken.
HorseEmote.trick.ToSource:				Ihr steht auf Eurem Reittier um {0} zu beeindrucken.
HorseEmote.trick.NoTargetToOthers:			{0} steht auf {1} Reittier um alle zu beeindrucken.
HorseEmote.trick.NoTargetToSource:			Ihr steht auf Eurem Reittier um alle zu beeindrucken.

# /Language
Commands.Players.Language.Current:			Die aktuell auf dem Server angezeigte Sprache ist: {0}.
Commands.Players.Language.Set:				Ihr ändert die vom Server angezeigte Sprache auf {0}.
Commands.Players.Language.AvailableLanguages: 		Verfügbare Sprachen: {0}

# /Range
Commands.Players.Range.InvalidObject:			Dieser Befehl ist nur bei Gegenständen gültig.
Commands.Players.Range.NeedTarget:			Distanz zum Ziel: Ihr habt kein Ziel ausgewählt.
Commands.Players.Range.NotVisible:			(Ziel nicht sichtbar)
Commands.Players.Range.Result:				Distanz zum Ziel: {0} Einheiten. {1}

# /Realm
Commands.Players.Realm.AlbKeeps:				Albion Festungen
Commands.Players.Realm.DarknessFalls:			Darkness Falls
Commands.Players.Realm.HibKeeps:				Hibernia Festungen
Commands.Players.Realm.MidKeeps:				Midgard Festungen
Commands.Players.Realm.Title:				Reichsstatus
Commands.Players.Realm.UseRelicCommand:			Gebt '/relic' für den Reliktstatus ein.

# /Relic
Commands.Players.Relic.AlbRelics:			Albion Relikte
Commands.Players.Relic.HibRelics:			Hibernia Relikte
Commands.Players.Relic.MidRelics:			Midgard Relikte
Commands.Players.Relic.Power:				Magie
Commands.Players.Relic.Strength:				Stärke
Commands.Players.Relic.Title:				Reliktstatus
Commands.Players.Relic.UseRealmCommand:			Gebt '/realm' für den Reichsstatus ein.

# /ViewReport
Commands.Player.ViewReport.Help.Close:			'/viewreport close <report #>' Schließt den Bericht mit der ID #. 
Commands.Player.ViewReport.Help.Delete:			'/viewreport delete <report #' Löscht den Bericht mit der ID #. 
Commands.Player.ViewReport.InvalidReport:		Das ist kein gültiger Bericht.
Commands.Player.ViewReport.NoPriv:			Ihr seid nicht berechtigt Berichte zu verändern.
Commands.Player.ViewReport.ReportDeleted:		Bericht {0} wurde gelöscht. 
Commands.Player.ViewReport.UnknownCommand:		Das ist kein gültiger Befehl. 
Commands.Player.ViewReport.Usage:			Verwendet:
